start_time,end_time,topic,article_count,total_edits,sample_titles,batch_id
2026-05-28T21:18:00.000+02:00,2026-05-28T21:23:00.000+02:00,File:E,3,3,File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 360).jpg | File:E 186 005 - Bruxelles-Midi - 2019-05-18.jpg | File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 361).jpg,103
2026-05-28T21:19:00.000+02:00,2026-05-28T21:24:00.000+02:00,File:E,2,2,File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 360).jpg | File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 361).jpg,103
2026-05-28T21:20:00.000+02:00,2026-05-28T21:25:00.000+02:00,File:E,2,2,File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 360).jpg | File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 361).jpg,103
2026-05-28T21:21:00.000+02:00,2026-05-28T21:26:00.000+02:00,File:E,2,2,File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 360).jpg | File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 361).jpg,103
2026-05-28T21:22:00.000+02:00,2026-05-28T21:27:00.000+02:00,File:E,2,2,File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 360).jpg | File:E 18th Ave - DPLA - ba315d0b1336692d97b9cb3a9b29d64c (page 361).jpg,103
