start_time,end_time,topic,article_count,total_edits,sample_titles,batch_id
2026-05-28T19:43:00.000+02:00,2026-05-28T19:48:00.000+02:00,File:1498,6,6,File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 26).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 31).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 27).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 29).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 32).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 28).jpg,17
2026-05-28T19:46:00.000+02:00,2026-05-28T19:51:00.000+02:00,File:1498,6,6,File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 26).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 31).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 27).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 29).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 32).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 28).jpg,17
2026-05-28T19:44:00.000+02:00,2026-05-28T19:49:00.000+02:00,File:1498,6,6,File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 26).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 31).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 27).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 29).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 32).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 28).jpg,17
2026-05-28T19:44:00.000+02:00,2026-05-28T19:49:00.000+02:00,User,5,5,User talk:Anonymsiy | User talk:Geoffroi | User talk:StPeteRays | User talk:Quietnotionist | User talk:Gobrona,17
2026-05-28T19:47:00.000+02:00,2026-05-28T19:52:00.000+02:00,2007,5,5,"2007 Croatian parliamentary election | 2007 in French television | 2007 Cheshire, Connecticut murders | 2007 Chittagong mudslides | 2007 Boston Red Sox season",17
2026-05-28T19:46:00.000+02:00,2026-05-28T19:51:00.000+02:00,User,5,5,User talk:Anonymsiy | User talk:Geoffroi | User talk:StPeteRays | User talk:Quietnotionist | User talk:Gobrona,17
2026-05-28T19:45:00.000+02:00,2026-05-28T19:50:00.000+02:00,User,5,5,User talk:Anonymsiy | User talk:Geoffroi | User talk:StPeteRays | User talk:Quietnotionist | User talk:Gobrona,17
2026-05-28T19:43:00.000+02:00,2026-05-28T19:48:00.000+02:00,User,5,5,User talk:Anonymsiy | User talk:Geoffroi | User talk:StPeteRays | User talk:Quietnotionist | User talk:Gobrona,17
2026-05-28T19:47:00.000+02:00,2026-05-28T19:52:00.000+02:00,File:1498,3,3,File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 31).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 29).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 32).jpg,17
2026-05-28T19:47:00.000+02:00,2026-05-28T19:52:00.000+02:00,User,3,3,User talk:Geoffroi | User talk:Quietnotionist | User talk:Gobrona,17
