start_time,end_time,topic,article_count,total_edits,sample_titles,batch_id
2026-05-28T22:33:00.000+02:00,2026-05-28T22:38:00.000+02:00,File:E,48,48,File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 36).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 154).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 167).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 171).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 27).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 161).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 3).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 151).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 32).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 174).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 144).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 172).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 38).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 34).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 146).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 169).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 142).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 16).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 20).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 145).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 148).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 22).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 165).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 166).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 24).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 25).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 173).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 4).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 18).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 164).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 157).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 17).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 170).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 23).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 158).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 141).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 149).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 28).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 31).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 26).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 40).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 159).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 156).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 163).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 41).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 168).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 21).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 147).jpg,169
2026-05-28T22:32:00.000+02:00,2026-05-28T22:37:00.000+02:00,File:E,48,48,File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 36).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 154).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 167).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 171).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 27).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 161).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 3).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 151).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 32).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 174).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 144).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 172).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 38).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 34).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 146).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 169).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 142).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 16).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 20).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 145).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 148).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 22).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 165).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 166).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 24).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 25).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 173).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 4).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 18).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 164).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 157).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 17).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 170).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 23).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 158).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 141).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 149).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 28).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 31).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 26).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 40).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 159).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 156).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 163).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 41).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 168).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 21).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 147).jpg,169
2026-05-28T22:31:00.000+02:00,2026-05-28T22:36:00.000+02:00,File:E,48,48,File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 36).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 154).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 167).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 171).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 27).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 161).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 3).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 151).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 32).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 174).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 144).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 172).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 38).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 34).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 146).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 169).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 142).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 16).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 20).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 145).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 148).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 22).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 165).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 166).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 24).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 25).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 173).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 4).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 18).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 164).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 157).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 17).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 170).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 23).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 158).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 141).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 149).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 28).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 31).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 26).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 40).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 159).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 156).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 163).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 41).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 168).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 21).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 147).jpg,169
2026-05-28T22:30:00.000+02:00,2026-05-28T22:35:00.000+02:00,File:E,48,48,File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 36).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 154).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 167).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 171).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 27).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 161).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 3).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 151).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 32).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 174).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 144).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 172).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 38).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 34).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 146).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 169).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 142).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 16).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 20).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 145).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 148).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 22).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 165).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 166).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 24).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 25).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 173).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 4).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 18).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 164).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 157).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 17).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 170).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 23).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 158).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 141).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 149).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 28).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 31).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 26).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 40).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 159).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 156).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 163).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 41).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 168).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 21).jpg | File:E Beaumont Rd - DPLA - f3ba3b897e953658ab80a9e49832c9ba (page 147).jpg,169
