start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,reverts_count,batch_id
2026-05-28T18:19:00.000+02:00,2026-05-28T18:24:00.000+02:00,Ningbo,2,2,"Chongqing on the Wheels, Frost",Reverted edit by [[Special:Contribs/Chongqing on the Wheels|Chongqing on the Wheels]] ([[User talk:Chongqing on the Wheels|talk]]) to last version by TurquoiseGoose,1356573946,1,14
2026-05-28T18:20:00.000+02:00,2026-05-28T18:25:00.000+02:00,Mimas,2,2,"Pyrrhic victor, ~2026-31883-52",Reverted edits by [[Special:Contribs/~2026-31883-52|~2026-31883-52]] ([[User talk:~2026-31883-52|talk]]): image vandalism ([[:en:WP:WikiShield|WS]]),1356573947,1,14
2026-05-28T18:20:00.000+02:00,2026-05-28T18:25:00.000+02:00,Ningbo,2,2,"Chongqing on the Wheels, Frost",Reverted edit by [[Special:Contribs/Chongqing on the Wheels|Chongqing on the Wheels]] ([[User talk:Chongqing on the Wheels|talk]]) to last version by TurquoiseGoose,1356573946,1,14
2026-05-28T18:21:00.000+02:00,2026-05-28T18:26:00.000+02:00,Mimas,2,2,"Pyrrhic victor, ~2026-31883-52",Reverted edits by [[Special:Contribs/~2026-31883-52|~2026-31883-52]] ([[User talk:~2026-31883-52|talk]]): image vandalism ([[:en:WP:WikiShield|WS]]),1356573947,1,14
2026-05-28T18:21:00.000+02:00,2026-05-28T18:26:00.000+02:00,Ningbo,2,2,"Chongqing on the Wheels, Frost",Reverted edit by [[Special:Contribs/Chongqing on the Wheels|Chongqing on the Wheels]] ([[User talk:Chongqing on the Wheels|talk]]) to last version by TurquoiseGoose,1356573946,1,14
2026-05-28T18:23:00.000+02:00,2026-05-28T18:28:00.000+02:00,Mimas,2,2,"Pyrrhic victor, ~2026-31883-52",Reverted edits by [[Special:Contribs/~2026-31883-52|~2026-31883-52]] ([[User talk:~2026-31883-52|talk]]): image vandalism ([[:en:WP:WikiShield|WS]]),1356573947,1,14
2026-05-28T18:19:00.000+02:00,2026-05-28T18:24:00.000+02:00,Mimas,2,2,"Pyrrhic victor, ~2026-31883-52",Reverted edits by [[Special:Contribs/~2026-31883-52|~2026-31883-52]] ([[User talk:~2026-31883-52|talk]]): image vandalism ([[:en:WP:WikiShield|WS]]),1356573947,1,14
2026-05-28T18:22:00.000+02:00,2026-05-28T18:27:00.000+02:00,Mimas,2,2,"Pyrrhic victor, ~2026-31883-52",Reverted edits by [[Special:Contribs/~2026-31883-52|~2026-31883-52]] ([[User talk:~2026-31883-52|talk]]): image vandalism ([[:en:WP:WikiShield|WS]]),1356573947,1,14
2026-05-28T18:22:00.000+02:00,2026-05-28T18:27:00.000+02:00,Ningbo,2,2,"Chongqing on the Wheels, Frost",Reverted edit by [[Special:Contribs/Chongqing on the Wheels|Chongqing on the Wheels]] ([[User talk:Chongqing on the Wheels|talk]]) to last version by TurquoiseGoose,1356573946,1,14
2026-05-28T18:23:00.000+02:00,2026-05-28T18:28:00.000+02:00,Ningbo,2,2,"Chongqing on the Wheels, Frost",Reverted edit by [[Special:Contribs/Chongqing on the Wheels|Chongqing on the Wheels]] ([[User talk:Chongqing on the Wheels|talk]]) to last version by TurquoiseGoose,1356573946,1,14
