start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T20:03:00.000+02:00,2026-05-07T20:08:00.000+02:00,Amici di Maria De Filippi (venticinquesima edizione),6,2,"Reyyyy2000, Topo Di Magazzino",/* Tabellone dello svolgimento */,150591914,154
2026-05-07T20:04:00.000+02:00,2026-05-07T20:09:00.000+02:00,Amici di Maria De Filippi (venticinquesima edizione),5,2,"Reyyyy2000, Topo Di Magazzino",/* Tabellone dello svolgimento */,150591914,154
2026-05-07T20:05:00.000+02:00,2026-05-07T20:10:00.000+02:00,Amici di Maria De Filippi (venticinquesima edizione),4,2,"Reyyyy2000, Topo Di Magazzino",/* Tabellone dello svolgimento */,150591914,154
