start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T22:19:00.000+02:00,2026-05-07T22:24:00.000+02:00,ShinyHunters,13,11,"~2026-24656-70, Asylibyte, ~2026-27701-74, Braumoncade, ~2026-27737-08, Lynch44, ~2026-27855-71, ~2026-27761-36, ClueBot NG, ~2026-27584-11, ~2026-27648-30",/* */,1353042006,581
2026-05-07T22:20:00.000+02:00,2026-05-07T22:25:00.000+02:00,ShinyHunters,11,10,"~2026-24656-70, Asylibyte, ~2026-27701-74, ~2026-27737-08, Lynch44, ~2026-27855-71, ~2026-27761-36, ClueBot NG, ~2026-27584-11, ~2026-27648-30",/* */,1353042006,581
2026-05-07T22:21:00.000+02:00,2026-05-07T22:26:00.000+02:00,ShinyHunters,8,7,"Asylibyte, ~2026-27701-74, ~2026-27737-08, Lynch44, ~2026-27855-71, ~2026-27584-11, ~2026-27648-30",/* */,1353042006,581
2026-05-07T22:22:00.000+02:00,2026-05-07T22:27:00.000+02:00,ShinyHunters,6,6,"Asylibyte, ~2026-27737-08, Lynch44, ~2026-27855-71, ~2026-27584-11, ~2026-27648-30",/* */,1353042006,581
