start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Q139033455,11,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Q139033455,11,1,15
2026-05-07T17:16:00.000+02:00,2026-05-07T17:21:00.000+02:00,重庆某某文化传播有限公司、佛山市顺德区某某餐饮娱乐有限公司杏坛分公司著作权权属、侵权纠纷民事一审民事判决书,10,1,15
2026-05-07T17:15:00.000+02:00,2026-05-07T17:20:00.000+02:00,重庆某某文化传播有限公司、佛山市顺德区某某餐饮娱乐有限公司杏坛分公司著作权权属、侵权纠纷民事一审民事判决书,10,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,重庆某某文化传播有限公司、佛山市顺德区某某餐饮娱乐有限公司杏坛分公司著作权权属、侵权纠纷民事一审民事判决书,10,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,重庆某某文化传播有限公司、佛山市顺德区某某餐饮娱乐有限公司杏坛分公司著作权权属、侵权纠纷民事一审民事判决书,10,1,15
2026-05-07T17:14:00.000+02:00,2026-05-07T17:19:00.000+02:00,重庆某某文化传播有限公司、佛山市顺德区某某餐饮娱乐有限公司杏坛分公司著作权权属、侵权纠纷民事一审民事判决书,10,1,15
2026-05-07T17:14:00.000+02:00,2026-05-07T17:19:00.000+02:00,Q139033455,8,1,15
2026-05-07T17:15:00.000+02:00,2026-05-07T17:20:00.000+02:00,Q139695333,7,1,15
2026-05-07T17:14:00.000+02:00,2026-05-07T17:19:00.000+02:00,Q139695333,7,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Q139695333,7,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Q139695333,7,1,15
2026-05-07T17:15:00.000+02:00,2026-05-07T17:20:00.000+02:00,Q139033455,6,1,15
2026-05-07T17:14:00.000+02:00,2026-05-07T17:19:00.000+02:00,Q21161958,5,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Q21161958,5,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Q21161958,5,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Участница:Liilia Moroz/Черновик,4,1,15
2026-05-07T17:15:00.000+02:00,2026-05-07T17:20:00.000+02:00,Q139695373,4,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Q139695373,4,1,15
2026-05-07T17:16:00.000+02:00,2026-05-07T17:21:00.000+02:00,Q38081597,4,1,15
2026-05-07T17:15:00.000+02:00,2026-05-07T17:20:00.000+02:00,Q38081597,4,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,File:Motiv iz Celja 1961 (3).jpg,4,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,File:Motiv iz Celja 1961 (3).jpg,4,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Участница:Liilia Moroz/Черновик,4,1,15
2026-05-07T17:14:00.000+02:00,2026-05-07T17:19:00.000+02:00,Q139695373,4,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Q139695373,4,1,15
2026-05-07T17:16:00.000+02:00,2026-05-07T17:21:00.000+02:00,Q139695333,4,1,15
2026-05-07T17:14:00.000+02:00,2026-05-07T17:19:00.000+02:00,Q38081597,4,1,15
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Q38081597,4,1,15
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Q38081597,4,1,15
2026-05-07T17:15:00.000+02:00,2026-05-07T17:20:00.000+02:00,Q21161958,4,1,15
