start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T21:42:00.000+02:00,2026-05-07T21:47:00.000+02:00,Achille e Patroclo,6,3,"~2026-27834-02, Sun-crops, Quinlan83","",150592961,465
2026-05-07T21:43:00.000+02:00,2026-05-07T21:48:00.000+02:00,Achille e Patroclo,6,3,"~2026-27834-02, Sun-crops, Quinlan83","",150592961,465
2026-05-07T21:44:00.000+02:00,2026-05-07T21:49:00.000+02:00,Achille e Patroclo,4,2,"~2026-27834-02, Sun-crops","",150592961,465
