start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695581,15,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695581,15,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695581,15,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q139695581,15,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695579,11,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695579,11,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695579,11,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695449,10,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695449,10,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q139695579,9,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695449,7,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q5592156,7,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q5592156,7,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q5592156,7,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Anexo:Emisoras de Cartagena de Indias,5,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q138457322,5,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Anexo:Emisoras de Cartagena de Indias,5,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Anexo:Emisoras de Cartagena de Indias,5,1,81
2026-05-07T18:28:00.000+02:00,2026-05-07T18:33:00.000+02:00,Q139695581,5,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q138457322,5,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q138457322,5,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q138457322,5,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Anexo:Emisoras de Cartagena de Indias,4,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q2837764,4,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q2837764,4,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q2837764,4,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Wikidata:WikiProject Horse racing/Data model,4,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q12390741,4,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q12390741,4,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q12390741,4,1,81
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,José Ignacio García Sánchez,4,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,José Ignacio García Sánchez,4,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,José Ignacio García Sánchez,4,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695574,4,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695574,4,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q2837764,4,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Wikidata:WikiProject Horse racing/Data model,4,1,81
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q12390741,4,1,81
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,José Ignacio García Sánchez,4,1,81
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695574,4,1,81
