start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,reverts_count,batch_id
2026-05-28T20:00:00.000+02:00,2026-05-28T20:05:00.000+02:00,Shapoor Zadran,3,2,"~2026-31964-62, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31964-62|~2026-31964-62]] to version by Augmented Seventh. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518368) (Bot)",1356587075,1,32
2026-05-28T19:58:00.000+02:00,2026-05-28T20:03:00.000+02:00,Shapoor Zadran,3,2,"~2026-31964-62, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31964-62|~2026-31964-62]] to version by Augmented Seventh. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518368) (Bot)",1356587075,1,32
2026-05-28T19:59:00.000+02:00,2026-05-28T20:04:00.000+02:00,Shapoor Zadran,3,2,"~2026-31964-62, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31964-62|~2026-31964-62]] to version by Augmented Seventh. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518368) (Bot)",1356587075,1,32
2026-05-28T20:01:00.000+02:00,2026-05-28T20:06:00.000+02:00,Shapoor Zadran,3,2,"~2026-31964-62, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31964-62|~2026-31964-62]] to version by Augmented Seventh. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518368) (Bot)",1356587075,1,32
2026-05-28T20:02:00.000+02:00,2026-05-28T20:07:00.000+02:00,Shapoor Zadran,2,2,"~2026-31964-62, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31964-62|~2026-31964-62]] to version by Augmented Seventh. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518368) (Bot)",1356587075,1,32
