start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Q139695593,11,1,107
2026-05-07T18:33:00.000+02:00,2026-05-07T18:38:00.000+02:00,Q139695593,9,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Q139695593,9,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Q139695593,9,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Q133821106,8,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Q133821106,6,1,107
2026-05-07T18:33:00.000+02:00,2026-05-07T18:38:00.000+02:00,Q133821106,6,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Q133821106,6,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,பயனர்:பயணங்களின் காதலன்/மணல்தொட்டி,6,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Q139695569,6,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Global recession,5,1,107
2026-05-07T18:34:00.000+02:00,2026-05-07T18:39:00.000+02:00,Q139695593,5,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,பயனர்:பயணங்களின் காதலன்/மணல்தொட்டி,5,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Q139695569,5,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Global recession,5,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Global recession,4,1,107
2026-05-07T18:33:00.000+02:00,2026-05-07T18:38:00.000+02:00,Q320163,4,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Q320163,4,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Q320163,4,1,107
2026-05-07T18:33:00.000+02:00,2026-05-07T18:38:00.000+02:00,Q13978,4,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Q13978,4,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Q13978,4,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,பயனர்:பயணங்களின் காதலன்/மணல்தொட்டி,4,1,107
2026-05-07T18:34:00.000+02:00,2026-05-07T18:39:00.000+02:00,Q138468237,4,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Q138468237,4,1,107
2026-05-07T18:31:00.000+02:00,2026-05-07T18:36:00.000+02:00,Q138468237,4,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Q138468237,4,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Проект:Добротные статьи/Кандидаты/27 февраля 2026,4,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Q139695569,4,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Q320163,4,1,107
2026-05-07T18:32:00.000+02:00,2026-05-07T18:37:00.000+02:00,Q13978,4,1,107
2026-05-07T18:33:00.000+02:00,2026-05-07T18:38:00.000+02:00,Q138468237,4,1,107
2026-05-07T18:30:00.000+02:00,2026-05-07T18:35:00.000+02:00,Wikipedia:Administrators' noticeboard/Incidents,4,3,107
