start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695581,18,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695581,18,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695581,18,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q139695581,18,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695579,13,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695579,13,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695579,13,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q139695579,11,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139557611,8,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q125805924,8,1,82
2026-05-07T18:28:00.000+02:00,2026-05-07T18:33:00.000+02:00,Q139695581,8,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139557611,8,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q125805924,8,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139695568,7,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q138457322,7,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139557611,7,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Steve Scoffham,7,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139695568,7,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q138457322,7,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q138457322,7,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q138457322,7,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q125805924,7,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Steve Scoffham,7,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q101603208,6,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Steve Scoffham,6,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q101603208,6,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q101603208,6,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139695568,5,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q1770,5,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q12390741,5,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q12390741,5,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q12390741,5,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Steve Scoffham,5,1,82
2026-05-07T18:28:00.000+02:00,2026-05-07T18:33:00.000+02:00,Q139695579,5,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q1770,5,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q12390741,5,1,82
2026-05-07T18:28:00.000+02:00,2026-05-07T18:33:00.000+02:00,Q138457322,4,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q139557611,4,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q116495507,4,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q116495507,4,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q139678697,4,1,82
2026-05-07T18:28:00.000+02:00,2026-05-07T18:33:00.000+02:00,Q116495507,4,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q116495507,4,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q116495507,4,1,82
2026-05-07T18:28:00.000+02:00,2026-05-07T18:33:00.000+02:00,Q139678697,4,1,82
2026-05-07T18:26:00.000+02:00,2026-05-07T18:31:00.000+02:00,Q139678697,4,1,82
2026-05-07T18:25:00.000+02:00,2026-05-07T18:30:00.000+02:00,Q139678697,4,1,82
2026-05-07T18:24:00.000+02:00,2026-05-07T18:29:00.000+02:00,Q139678697,4,1,82
2026-05-07T18:27:00.000+02:00,2026-05-07T18:32:00.000+02:00,Q101603208,4,1,82
