start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T22:13:00.000+02:00,2026-05-07T22:18:00.000+02:00,ShinyHunters,12,11,"~2026-27760-76, ~2026-27675-45, Tandembikerandompsych, SimpleObjects-9ei, ~2026-27657-80, ~2026-27819-87, ~2026-27794-84, ClueBot NG, ~2026-27584-11, OyTimeForPayback, ~2026-27854-81",Silly to reference individual parties affected,1353040909,555
2026-05-07T22:14:00.000+02:00,2026-05-07T22:19:00.000+02:00,ShinyHunters,9,8,"~2026-27760-76, Tandembikerandompsych, SimpleObjects-9ei, ~2026-27657-80, ~2026-27794-84, ~2026-27584-11, OyTimeForPayback, ~2026-27854-81",Silly to reference individual parties affected,1353040909,555
2026-05-07T22:15:00.000+02:00,2026-05-07T22:20:00.000+02:00,ShinyHunters,7,7,"~2026-27760-76, Tandembikerandompsych, SimpleObjects-9ei, ~2026-27657-80, ~2026-27794-84, OyTimeForPayback, ~2026-27854-81",Silly to reference individual parties affected,1353040909,555
