start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,batch_id
2026-05-07T19:13:00.000+02:00,2026-05-07T19:18:00.000+02:00,Conflicto israelí-palestino,4,2,"~2026-27823-91, SeroBOT","",25
2026-05-07T19:13:00.000+02:00,2026-05-07T19:18:00.000+02:00,Melbourn Village College,4,3,"Leonidlednev, Gommeh, ~2026-27788-97",Reverted edits by [[Special:Contribs/~2026-27788-97|~2026-27788-97]] ([[User talk:~2026-27788-97|talk]]): vandalism ([[:en:WP:WikiShield|WS]]),25
2026-05-07T19:14:00.000+02:00,2026-05-07T19:19:00.000+02:00,Melbourn Village College,4,3,"Leonidlednev, Gommeh, ~2026-27788-97",Reverted edits by [[Special:Contribs/~2026-27788-97|~2026-27788-97]] ([[User talk:~2026-27788-97|talk]]): vandalism ([[:en:WP:WikiShield|WS]]),25
2026-05-07T19:14:00.000+02:00,2026-05-07T19:19:00.000+02:00,Conflicto israelí-palestino,4,2,"~2026-27823-91, SeroBOT","",25
