start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,reverts_count,batch_id
2026-05-28T18:17:00.000+02:00,2026-05-28T18:22:00.000+02:00,Banaadir,2,2,"Plasticwonder, DrJalaaludiin Yusuf",Reverted [[Wp:AGF|Good faith]] edits by [[Special:Contribs/DrJalaaludiin Yusuf|DrJalaaludiin Yusuf]] ([[User talk:DrJalaaludiin Yusuf|talk]]): unsourced ([[:en:WP:WikiShield|WS]]),1356573713,1,8
2026-05-28T18:19:00.000+02:00,2026-05-28T18:24:00.000+02:00,Banaadir,2,2,"Plasticwonder, DrJalaaludiin Yusuf",Reverted [[Wp:AGF|Good faith]] edits by [[Special:Contribs/DrJalaaludiin Yusuf|DrJalaaludiin Yusuf]] ([[User talk:DrJalaaludiin Yusuf|talk]]): unsourced ([[:en:WP:WikiShield|WS]]),1356573713,1,8
2026-05-28T18:21:00.000+02:00,2026-05-28T18:26:00.000+02:00,Mary Shelley,2,2,"~2026-31885-01, SeroBOT",Revertida una edición de [[Special:Contributions/~2026-31885-01|~2026-31885-01]] ([[User talk:~2026-31885-01|disc.]]) a la última edición de SeroBOT,173682518,1,8
2026-05-28T18:17:00.000+02:00,2026-05-28T18:22:00.000+02:00,Mary Shelley,2,2,"~2026-31885-01, SeroBOT",Revertida una edición de [[Special:Contributions/~2026-31885-01|~2026-31885-01]] ([[User talk:~2026-31885-01|disc.]]) a la última edición de SeroBOT,173682518,1,8
2026-05-28T18:18:00.000+02:00,2026-05-28T18:23:00.000+02:00,Banaadir,2,2,"Plasticwonder, DrJalaaludiin Yusuf",Reverted [[Wp:AGF|Good faith]] edits by [[Special:Contribs/DrJalaaludiin Yusuf|DrJalaaludiin Yusuf]] ([[User talk:DrJalaaludiin Yusuf|talk]]): unsourced ([[:en:WP:WikiShield|WS]]),1356573713,1,8
2026-05-28T18:18:00.000+02:00,2026-05-28T18:23:00.000+02:00,Mary Shelley,2,2,"~2026-31885-01, SeroBOT",Revertida una edición de [[Special:Contributions/~2026-31885-01|~2026-31885-01]] ([[User talk:~2026-31885-01|disc.]]) a la última edición de SeroBOT,173682518,1,8
2026-05-28T18:19:00.000+02:00,2026-05-28T18:24:00.000+02:00,Mary Shelley,2,2,"~2026-31885-01, SeroBOT",Revertida una edición de [[Special:Contributions/~2026-31885-01|~2026-31885-01]] ([[User talk:~2026-31885-01|disc.]]) a la última edición de SeroBOT,173682518,1,8
2026-05-28T18:20:00.000+02:00,2026-05-28T18:25:00.000+02:00,Banaadir,2,2,"Plasticwonder, DrJalaaludiin Yusuf",Reverted [[Wp:AGF|Good faith]] edits by [[Special:Contribs/DrJalaaludiin Yusuf|DrJalaaludiin Yusuf]] ([[User talk:DrJalaaludiin Yusuf|talk]]): unsourced ([[:en:WP:WikiShield|WS]]),1356573713,1,8
2026-05-28T18:20:00.000+02:00,2026-05-28T18:25:00.000+02:00,Mary Shelley,2,2,"~2026-31885-01, SeroBOT",Revertida una edición de [[Special:Contributions/~2026-31885-01|~2026-31885-01]] ([[User talk:~2026-31885-01|disc.]]) a la última edición de SeroBOT,173682518,1,8
2026-05-28T18:21:00.000+02:00,2026-05-28T18:26:00.000+02:00,Banaadir,2,2,"Plasticwonder, DrJalaaludiin Yusuf",Reverted [[Wp:AGF|Good faith]] edits by [[Special:Contribs/DrJalaaludiin Yusuf|DrJalaaludiin Yusuf]] ([[User talk:DrJalaaludiin Yusuf|talk]]): unsourced ([[:en:WP:WikiShield|WS]]),1356573713,1,8
