start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T19:42:00.000+02:00,2026-05-07T19:47:00.000+02:00,Juan Reynoso Guzmán,6,2,"Nuria, the witch, Bakerseems","Revertida una edición de [[Special:Contributions/Bakerseems|Bakerseems]] ([[User talk:Bakerseems|disc.]]) a la última edición de Nuria, the witch",173349363,75
2026-05-07T19:42:00.000+02:00,2026-05-07T19:47:00.000+02:00,Satan,6,2,"~2026-27648-15, PatrocleBot",Se revine automat asupra unei modificări distructive (scor [[:m:Machine_learning_models/Proposed/Multilingual_revert_risk|revertrisk.multilingual]]: 0.9571426722210838). Greșit? Raportați [[WP:AA|aici]].,17718743,75
2026-05-07T19:43:00.000+02:00,2026-05-07T19:48:00.000+02:00,Satan,6,2,"~2026-27648-15, PatrocleBot",Se revine automat asupra unei modificări distructive (scor [[:m:Machine_learning_models/Proposed/Multilingual_revert_risk|revertrisk.multilingual]]: 0.9571426722210838). Greșit? Raportați [[WP:AA|aici]].,17718743,75
2026-05-07T19:44:00.000+02:00,2026-05-07T19:49:00.000+02:00,Satan,6,2,"~2026-27648-15, PatrocleBot",Se revine automat asupra unei modificări distructive (scor [[:m:Machine_learning_models/Proposed/Multilingual_revert_risk|revertrisk.multilingual]]: 0.9571426722210838). Greșit? Raportați [[WP:AA|aici]].,17718743,75
2026-05-07T19:45:00.000+02:00,2026-05-07T19:50:00.000+02:00,Satan,4,2,"~2026-27648-15, PatrocleBot",Se revine automat asupra unei modificări distructive (scor [[:m:Machine_learning_models/Proposed/Multilingual_revert_risk|revertrisk.multilingual]]: 0.9571426722210838). Greșit? Raportați [[WP:AA|aici]].,17718743,75
