start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,reverts_count,batch_id
2026-05-28T22:39:00.000+02:00,2026-05-28T22:44:00.000+02:00,Q47507934,3,1,~2026-22395-81,/* wbremoveclaims-remove:1| */ [[Property:P1403]]: [[Q478678]],,1,174
2026-05-28T22:42:00.000+02:00,2026-05-28T22:47:00.000+02:00,Q47507934,3,1,~2026-22395-81,/* wbremoveclaims-remove:1| */ [[Property:P1403]]: [[Q478678]],,1,174
2026-05-28T22:40:00.000+02:00,2026-05-28T22:45:00.000+02:00,Q47507934,3,1,~2026-22395-81,/* wbremoveclaims-remove:1| */ [[Property:P1403]]: [[Q478678]],,1,174
2026-05-28T22:41:00.000+02:00,2026-05-28T22:46:00.000+02:00,Q47507934,3,1,~2026-22395-81,/* wbremoveclaims-remove:1| */ [[Property:P1403]]: [[Q478678]],,1,174
2026-05-28T22:43:00.000+02:00,2026-05-28T22:48:00.000+02:00,Q47507934,3,1,~2026-22395-81,/* wbremoveclaims-remove:1| */ [[Property:P1403]]: [[Q478678]],,1,174
