start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Attestatsiya,4,1,3
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Attestatsiya,4,1,3
2026-05-07T17:11:00.000+02:00,2026-05-07T17:16:00.000+02:00,Attestatsiya,4,1,3
2026-05-07T17:12:00.000+02:00,2026-05-07T17:17:00.000+02:00,Q38081531,4,1,3
2026-05-07T17:10:00.000+02:00,2026-05-07T17:15:00.000+02:00,Q38081531,4,1,3
2026-05-07T17:10:00.000+02:00,2026-05-07T17:15:00.000+02:00,Attestatsiya,4,1,3
2026-05-07T17:09:00.000+02:00,2026-05-07T17:14:00.000+02:00,Attestatsiya,4,1,3
2026-05-07T17:13:00.000+02:00,2026-05-07T17:18:00.000+02:00,Q38081531,4,1,3
2026-05-07T17:11:00.000+02:00,2026-05-07T17:16:00.000+02:00,Q38081531,4,1,3
2026-05-07T17:09:00.000+02:00,2026-05-07T17:14:00.000+02:00,Q38081531,4,1,3
