start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,reverts_count,batch_id
2026-05-28T20:55:00.000+02:00,2026-05-28T21:00:00.000+02:00,Burtle,4,3,"~2026-31945-09, CharterTheGoob, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31945-09|~2026-31945-09]] to version by CharterTheGoob. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518386) (Bot)",1356596373,2,68
2026-05-28T20:54:00.000+02:00,2026-05-28T20:59:00.000+02:00,Burtle,4,3,"~2026-31945-09, CharterTheGoob, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31945-09|~2026-31945-09]] to version by CharterTheGoob. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518386) (Bot)",1356596373,2,68
2026-05-28T20:56:00.000+02:00,2026-05-28T21:01:00.000+02:00,Burtle,2,2,"~2026-31945-09, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31945-09|~2026-31945-09]] to version by CharterTheGoob. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518386) (Bot)",1356596373,1,68
2026-05-28T20:57:00.000+02:00,2026-05-28T21:02:00.000+02:00,Burtle,2,2,"~2026-31945-09, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31945-09|~2026-31945-09]] to version by CharterTheGoob. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518386) (Bot)",1356596373,1,68
2026-05-28T20:58:00.000+02:00,2026-05-28T21:03:00.000+02:00,Burtle,2,2,"~2026-31945-09, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-31945-09|~2026-31945-09]] to version by CharterTheGoob. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4518386) (Bot)",1356596373,1,68
