start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T18:41:00.000+02:00,2026-05-07T18:46:00.000+02:00,Q10586674,24,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q10586674,24,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q10586674,24,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q10586674,24,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q139695593,17,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q139695593,17,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q139695593,13,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q138468111,12,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q138468111,12,1,128
2026-05-07T18:41:00.000+02:00,2026-05-07T18:46:00.000+02:00,Q139695628,11,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q139695628,11,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q139695628,11,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q139695628,11,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q138468111,9,1,128
2026-05-07T18:41:00.000+02:00,2026-05-07T18:46:00.000+02:00,Q138468111,9,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q139695623,8,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q139695623,8,1,128
2026-05-07T18:41:00.000+02:00,2026-05-07T18:46:00.000+02:00,Q139695593,7,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q139547125,6,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q139547125,6,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q139695623,6,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q1684946,5,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q139547125,5,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q139695283,5,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q139695283,5,1,128
2026-05-07T18:41:00.000+02:00,2026-05-07T18:46:00.000+02:00,Q1684946,5,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q1684946,5,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q1684946,5,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q139695599,5,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q139695599,5,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q6238813,4,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q6238813,4,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q139695599,4,1,128
2026-05-07T18:39:00.000+02:00,2026-05-07T18:44:00.000+02:00,Q15545298,4,1,128
2026-05-07T18:38:00.000+02:00,2026-05-07T18:43:00.000+02:00,Q15545298,4,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q139695283,4,1,128
2026-05-07T18:42:00.000+02:00,2026-05-07T18:47:00.000+02:00,Q10586674,4,1,128
2026-05-07T18:40:00.000+02:00,2026-05-07T18:45:00.000+02:00,Q6238813,4,1,128
