start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q139695487,14,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q139695487,14,1,67
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Q139695487,11,1,67
2026-05-07T17:59:00.000+02:00,2026-05-07T18:04:00.000+02:00,Q139695487,9,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Likvor,6,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Likvor,6,1,67
2026-05-07T17:59:00.000+02:00,2026-05-07T18:04:00.000+02:00,Q139695491,6,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q139695491,6,1,67
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Q138606710,6,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q138606710,6,1,67
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Q139695491,6,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q139695491,6,1,67
2026-05-07T18:00:00.000+02:00,2026-05-07T18:05:00.000+02:00,Q138606710,6,1,67
2026-05-07T17:59:00.000+02:00,2026-05-07T18:04:00.000+02:00,Q138606710,6,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q138606710,6,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Patson Dzamara,5,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Usuário(a):Jeremias23D/Testes,5,1,67
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Likvor,4,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,File:AO May 1 2026.jpg,4,1,67
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Q134347921,4,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q134347921,4,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,File:AO May 1 2026.jpg,4,1,67
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q134347921,4,1,67
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Usuário(a):Jeremias23D/Testes,4,1,67
